OSM_ID,Name,latitude,longitude,Amenity_Type,Cuisine,Price_Level_OSM,Website,Review_Text,Review_Sentiment_Score,Final_NLP_Rating
947763603,Nhà Hàng Buffet Vasta,10.7820596,106.7057171,cafe,burger,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.85,4.625
960246638,Nhà Hàng Wrap&Roll,10.7732882,106.7040253,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.82,0.4500000000000001
986744046,Trung Nguyên Coffee,10.7921354,106.7128519,cafe,coffee_shop;vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.97,4.925
1001114453,Quán Ăn Gia Đình,10.8029924,106.6995844,restaurant,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.93,4.825
1001114529,Nhà Hàng Đồ Chay,10.8062565,106.6949559,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.67,4.175
1138694903,Nhà Hàng Crazy Buffalo,10.767375,106.6941425,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.96,4.9
1138696083,Nhà Hàng Pizza Fixme,10.7680337,106.6938158,restaurant,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.75,0.625
1138696084,Cà Phê Amenity,10.7682761,106.6936656,cafe,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.83,4.575
1198177163,Nhà Hàng Đồ Ăn Việt Nam Aroma,10.7684684,106.6938884,restaurant,vietnamese,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.78,4.45
1256312346,Cà Phê Hog's Breath,10.7718499,106.7048379,cafe,australian,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.69,4.225
1274090545,Bánh Canh Hoàng Ty,10.7917311,106.6915979,restaurant,regional,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.7,4.25
1275863719,Cà Phê Napoli,10.7732622,106.6938064,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.85,4.625
1275863735,Cafe Thứ 7,10.7853912,106.6966905,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.71,4.275
1407133660,Cà Phê Terrace,10.7737673,106.7011077,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.66,4.15
1407135685,Cà Phê Au Parc,10.7787503,106.6981182,cafe,mediterranean,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.99,0.025000000000000022
1499626823,Cà Phê The Refinery,10.7782301,106.7037621,cafe,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.96,4.9
1606198933,Nhà Hàng Vietnamese Kitchen,10.7666137,106.6922676,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.77,0.575
1711502024,Nhà Hàng Jaspas,10.778168,106.7037041,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.9,4.75
1769692429,The Coffee House,10.7850269,106.7026662,cafe,coffee_shop;vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.86,4.6499999999999995
1770193865,Cà Phê Đá,10.7805631,106.6975344,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.87,4.675000000000001
1770193890,Cà Phê 4A,10.781379,106.697592,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.71,4.275
1770193906,Nhà Hàng Shri Lounge,10.7826304,106.6972822,restaurant,international,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.89,0.27499999999999997
1770193907,Hội Quán Thanh Niên,10.7819478,106.6979915,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.9,0.24999999999999994
1770305118,Cà Phê Ciao,10.7751001,106.7029693,cafe,vietnamese;international;coffee_shop,,https://ciaocafe.vn/,"Thái độ nhân viên không tốt, không hài lòng.",-0.86,0.35000000000000003
1770305170,Nhà Hàng Ấn Độ Curry Rice,10.7762829,106.7042247,restaurant,indian,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.71,4.275
1770305180,Nhà Hàng Halal Sai Gon,10.7760297,106.7047293,restaurant,asian,,http://www.halalsaigon.com.vn/,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.78,4.45
1770305230,Nhà Hàng Cung Đình Rex,10.7754972,106.7007063,restaurant,vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.86,4.6499999999999995
1770597595,Nhà Hàng Tiệc Cưới 108 Nguyễn Du,10.7754764,106.6956779,restaurant,vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.76,4.4
1770597603,Cà Phê 30-4,10.7761438,106.6946963,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.87,4.675000000000001
1770597616,Nhà Hàng Alibaba,10.7743953,106.7040996,restaurant,international;grill;coffee_shop;persian;asian;steak_house;beef_bowl;russian;donut;pancake;fish_and_chips;chicken;vietnamese;oriental;breakfast;savory_pancakes;tea;seafood;friture;chinese;kebab;barbecue,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.92,0.1999999999999999
1770597627,Highlands Coffee,10.7769684,106.70344,cafe,coffee_shop;vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.8,4.5
1773221986,Cà Phê Smart,10.7876581,106.6999764,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.9,4.75
1776232862,Nhà Hàng Hải Cảng,10.7662887,106.7077614,restaurant,chinese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.96,0.10000000000000009
1777244221,Nhà Hàng Honeymoon,10.7602951,106.6991702,restaurant,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.78,0.5499999999999999
1933274708,Cửa Hàng Xôi Chè Bùi Thị Xuân,10.7675882,106.6863944,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.93,4.825
1969358646,Topping Beef,10.7797991,106.6949139,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.68,4.2
1969358661,The Coffee Bean & Tea Leaf,10.7805315,106.6956539,cafe,coffee_shop,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.86,0.35000000000000003
1969392540,Cà Phê Calibre,10.7743763,106.7037363,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.61,0.9750000000000001
1969392566,Trung Nguyên Coffee,10.7817145,106.6982688,cafe,coffee_shop;vietnamese,,http://www.trungnguyen.com.vn/quan/thanhniensangtao.aspx,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.73,4.325
1969579631,Quán Cà Phê Papa,10.7833122,106.6956127,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.77,0.575
1969579682,Cà Phê Gió Bấc,10.783145,106.6955418,cafe,coffee_shop,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.73,4.325
1969579862,Highlands Coffee,10.7686177,106.6935317,cafe,coffee_shop;vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.98,4.95
1969579887,Nhà Hàng Bornga,10.7788067,106.7020073,restaurant,korean,,https://www.theborn.co.kr/,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.93,4.825
1969579905,The Coffee Bean & Tea Leaf,10.7680657,106.695136,cafe,coffee_shop,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.93,0.17499999999999988
1969579993,The Coffee Bean & Tea Leaf;235 Đồng Khởi,10.7786273,106.6999908,cafe,coffee_shop,,https://coffeebean.com.vn,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.98,0.050000000000000044
1969580038,Cà Phê Cuộc Sống Dễ Dàng,10.7826261,106.6965122,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.73,0.675
1969599008,Quán Phở 2000,10.7718157,106.697747,restaurant,vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.62,0.95
1969599014,Trung Nguyên Coffee,10.772661,106.6954006,cafe,coffee_shop;vietnamese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.78,0.5499999999999999
1970245474,Highlands Coffee,10.7841289,106.7033179,cafe,coffee_shop;vietnamese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.87,0.325
1985346073,Nhà Hàng Lion Beer,10.776619,106.7039069,restaurant,international,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.86,0.35000000000000003
1985346125,Cà Phê Central Nguyễn Huệ,10.7738692,106.7034139,cafe,coffee_shop,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.68,4.2
1985346178,Highlands Coffee,10.7736729,106.7007717,cafe,coffee_shop;vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.82,0.4500000000000001
1985346221,Cà Phê Soho,10.7725032,106.7019571,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.62,4.050000000000001
1985346231,Nhà Hàng Ngon,10.7773464,106.6996325,restaurant,vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.89,0.27499999999999997
1985346259,Nhà Hàng Rơm BBQ,10.7736789,106.6992615,restaurant,american,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.98,4.95
1985346309,Phở 24,10.7718553,106.6975823,restaurant,vietnamese;noodle,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.62,0.95
1985832654,Nhà Hàng Nướng Barbecue Garden,10.7748184,106.6992492,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.84,4.6
1998235327,Cafe Trung Nguyên,10.7563655,106.685485,cafe,coffee_shop,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.84,0.4000000000000001
2036596623,Highlands Coffee,10.7809781,106.6980644,cafe,coffee_shop;vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.95,4.875
2037626761,Phở Bắc Hải,10.7838752,106.6992161,restaurant,vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.78,4.45
2038032872,Nhà Hàng Pháp Hoa,10.767809,106.688677,restaurant,vietnamese,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.88,4.699999999999999
2041380423,Bún Bò Huế Gia Hội,10.78415,106.6975046,restaurant,vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.85,4.625
2041384535,Nhà Hàng Hồ Tây,10.784324,106.697355,restaurant,vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.64,0.8999999999999999
2078561313,Cafe Thềm Xưa,10.759976,106.685927,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.62,4.050000000000001
2079456812,Quán Cơm Gà Xối Mỡ,10.786308,106.671644,restaurant,vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.91,0.22499999999999992
2084249434,Nhà Hàng Hoằng Long,10.7768249,106.703813,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.65,0.875
2119278909,Trà sữa Tea Cup,10.7980613,106.6885019,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.84,0.4000000000000001
2119279066,Cà Phê Bud's,10.7980034,106.688636,cafe,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.72,0.7000000000000001
2126937272,Nhà Hàng Neighborhood Meal,10.7805082,106.7057315,restaurant,vietnamese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.71,0.7250000000000001
2126941304,5KU Station,10.7794464,106.7042294,restaurant,grill,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.89,4.7250000000000005
2133669534,Nhà Hàng Hoa Sứ,10.7975447,106.7141842,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.73,4.325
2133670084,Nhà Hàng Trang Đỏ,10.797848,106.714665,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.89,4.7250000000000005
2133700237,Nhà Hàng Bông Súng,10.797692,106.715692,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.92,4.8
2133701509,Nhà Hàng Kitchen,10.7979426,106.7158367,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.8,4.5
2138695625,Nhà Hàng El Gaucho,10.7780321,106.7036328,restaurant,argentinian,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.79,4.475
2138695626,Nhà Hàng Nhật Annz,10.7781923,106.7039909,restaurant,japanese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.74,4.35
2139900977,Nhà Hàng Beirut,10.7780733,106.7039174,restaurant,lebanese,,https://www.beirut.vn/,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.76,4.4
2139904216,Cửa Hàng Pizza 4P's,10.7818475,106.705108,restaurant,pizza,,https://pizza4ps.com/,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.89,0.27499999999999997
2141010788,Starbucks,10.7765217,106.7049252,cafe,coffee_shop,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.84,4.6
2155768488,Pizza Hut,10.7972201,106.6907929,restaurant,pizza,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.95,4.875
2155772674,Nhà Hàng Sumo BBQ,10.797523,106.689728,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.92,4.8
2158685400,Quán Ăn Vương Gia Tửu,10.7978659,106.6874239,restaurant,vietnamese,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.76,0.6
2158685402,Nhà Hàng Quảng Đông San Fu Lou,10.7985189,106.6874636,restaurant,chinese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.71,4.275
2176765022,Cà Phê Bobby Brewers,10.7887204,106.676627,cafe,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.69,0.7750000000000001
2176976131,Central Parc Bánh Mì,10.7787487,106.6985432,cafe,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.96,0.10000000000000009
2176976132,Starbucks,10.7788646,106.6982455,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.81,4.525
2176976133,Nhà Hàng Blanchy Street,10.7780081,106.7038501,restaurant,fusion,,http://www.blanchystreet.com,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.96,4.9
2176976134,Nhà Hàng Hoa Túc,10.7783472,106.7038891,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.7,4.25
2176976136,Nhà Hàng Le Bouchon De Saïgon,10.7803707,106.7035032,restaurant,french,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.67,4.175
2176976137,The Coffee Bean & Tea Leaf,10.7799219,106.7039841,cafe,coffee_shop,,https://coffeebean.com.vn,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.75,4.375
2176976138,Nhà Hàng Khói Thơm,10.7806216,106.6901081,restaurant,mexican,,http://www.khoithom.com,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.79,4.475
2267949130,Cà Phê New Day,10.7739206,106.6970944,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.66,4.15
2276291867,Nhà Hàng Ciao Bella,10.7762605,106.7049669,restaurant,italian_pizza,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.67,0.825
2278045527,Quán Ăn Pháp Ti Ti,10.7956297,106.6949528,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.94,0.15000000000000013
2286005129,Nhà Hàng Zanzbar,10.7759751,106.7046722,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.98,0.050000000000000044
2286005140,Nhà Hàng Skewers,10.7790115,106.7047525,restaurant,mediterranean,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.97,4.925
2286005147,Cà Phê La Dolce Vita,10.7770275,106.7022407,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.74,4.35
2286005151,Nhà Hàng Som Tum Thai,10.7792532,106.7038786,restaurant,japanese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.88,0.3
2286005155,Nhà Hàng Namo,10.777874,106.7037686,restaurant,italian,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.99,0.025000000000000022
2286005157,Nhà Hàng Le Bourgeois,10.7768577,106.7024065,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.91,4.775
2286005158,Trung Nguyên Coffee,10.7797937,106.7041252,cafe,coffee_shop;vietnamese,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.94,0.15000000000000013
2286005165,The Coffee Bean & Tea Leaf,10.7717336,106.6975733,cafe,coffee_shop,,https://coffeebean.com.vn,"Thái độ nhân viên không tốt, không hài lòng.",-0.77,0.575
2340227004,Nhà Hàng Hương Đồng 4,10.7942099,106.6963509,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.63,0.925
2392391732,Nhà Hàng Tokyo Deli,10.7795329,106.6865534,restaurant,japanese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.69,0.7750000000000001
2392496454,Cà Phê Princess And The Pea,10.7749587,106.7005062,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.74,4.35
2392496458,Cà Phê Mocking Bird,10.7694751,106.7044829,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.83,4.575
2403090042,Lẩu Dê Kỳ Đồng,10.7917958,106.6972343,restaurant,vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.67,4.175
2433980564,Cà Phê Cat,10.802605,106.7144217,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.8,4.5
2480865074,Nhà Hàng Lemongrass,10.7754055,106.7033338,restaurant,vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.63,4.074999999999999
2489015987,Ốc Tý,10.7868712,106.7071606,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.84,4.6
2539425567,Cà Phê Tutti Frutti Frozen Yogurt,10.7719303,106.6976976,cafe,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.61,4.0249999999999995
2609870800,Căn Tin Thông Tin Tin Hiêu Đường Săt Sài Gòn,10.7827822,106.6768976,cafe,vietnamese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.64,0.8999999999999999
2609878882,Trung Nguyên Coffee,10.7826381,106.6769835,cafe,coffee_shop;vietnamese,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.71,0.7250000000000001
2613016553,Nhà Hàng Pháp Hidden,10.7674081,106.6930818,restaurant,french,,https://www.facebook.com/84.32.Bui.Vien,"Món ăn quá tệ, không đáng tiền chút nào.",-0.74,0.65
2614395020,Highlands Coffee,10.7558754,106.6839049,cafe,coffee_shop;vietnamese,,https://www.highlandscoffee.com.vn/,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.71,4.275
2614395023,Bún Bò Huế Nhân Trí 1,10.7622509,106.6762166,restaurant,vietnamese,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.92,4.8
2614395027,Cà Phê Rita Võ,10.7603644,106.6833383,cafe,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.76,0.6
2616958804,Cà Phê BB Corner,10.7728073,106.6952588,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.74,4.35
2616958820,Starbucks,10.7756464,106.7005642,cafe,coffee_shop,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.68,0.7999999999999998
2616958842,Trung Nguyên Coffee,10.7753501,106.7040924,cafe,coffee_shop;vietnamese,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.7,4.25
2616975924,Starbucks,10.7767726,106.6983083,cafe,coffee_shop,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.82,4.55
2674331004,Cà Phê Anh Phán,10.7690065,106.6992927,cafe,juice,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.81,0.47499999999999987
2674331160,Nhà Hàng Bon,10.768989,106.699256,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.75,4.375
2676547956,Nhà Hàng Dragon Steak,10.773364,106.702516,restaurant,steak_house,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.89,4.7250000000000005
2676923010,Cà Phê Hello Boba,10.769426,106.697944,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.6,1.0
2676928762,Pizza Hut,10.776985,106.690347,restaurant,pizza,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.96,4.9
2676930840,Nhà Hàng Hoàng Ty,10.776477,106.689956,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.88,0.3
2686083951,The Coffee Bean & Tea Leaf,10.778667,106.6980739,cafe,coffee_shop,,https://coffeebean.com.vn,"Thái độ nhân viên không tốt, không hài lòng.",-0.69,0.7750000000000001
2760310171,Cà Phê Milano Radio,10.7994534,106.6888155,cafe,coffee_shop,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.68,0.7999999999999998
2926911005,Trung Nguyên Coffee,10.783733,106.694489,cafe,coffee_shop;vietnamese,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.67,4.175
2926929401,Nhà Hàng Bích Liên,10.786249,106.676706,restaurant,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.61,0.9750000000000001
2926933201,Cà Phê The Fig,10.797106,106.676753,cafe,coffee_shop,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.69,0.7750000000000001
2927183601,Cà Phê Passio,10.779941,106.701006,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.93,0.17499999999999988
2927327001,Cà Phê Phúc Long,10.7724413,106.6988757,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.61,4.0249999999999995
2927381003,Ốc Tao Đàn,10.77734,106.692708,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.66,0.8499999999999999
2930719501,Cà Phê Press,10.779376,106.6960124,cafe,coffee_shop,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.61,0.9750000000000001
2935020335,Cà Phê Eleven,10.7716401,106.6951331,cafe,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.83,0.4250000000000001
2945202933,Cà Phê Thuỷ Mộc,10.777546,106.682577,cafe,coffee_shop,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.7,0.7500000000000001
2948811933,Highlands Coffee,10.784071,106.699901,cafe,coffee_shop;vietnamese,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.94,0.15000000000000013
2952520034,Cà Phê Mylife,10.767481,106.688215,cafe,coffee_shop,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.92,4.8
2955403633,Cà Phê Soybean,10.767428,106.68829,cafe,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.73,4.325
2956726133,,10.784545,106.699468,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.85,0.37500000000000006
2956812786,Nhà Hàng Đông Hồ,10.7745919,106.672839,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.6,4.0
2956854846,Nhà Hàng Kỳ Hoà 2,10.7744186,106.6716617,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.82,0.4500000000000001
2957025634,Nhà Hàng Soya Pudding,10.767854,106.686372,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.96,0.10000000000000009
2965478333,Cà Phê Regina,10.778345,106.699128,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.74,4.35
2978049992,Nhà Hàng Goldfish,10.7746812,106.7042541,restaurant,vietnamese,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.74,0.65
3193184663,Starbucks,10.7974626,106.6900114,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.94,4.85
3193702291,,10.7895287,106.703993,restaurant,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.75,4.375
3197121873,Nhà Hàng ThaiExpress,10.7983638,106.6878608,restaurant,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.83,4.575
3197126245,Nhà Hàng Kichi - Kichi,10.7978158,106.689146,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.82,4.55
3197128387,Bò Né 2 Chị Em,10.7976159,106.6895901,restaurant,,,,"Món ăn quá tệ, không đáng tiền chút nào.",-0.69,0.7750000000000001
